Query,Time
l*ng,1.193030693
in*e,1.2413348619999998
ret*val,1.1979760080000004
mac*,1.1911244120000002
*nswering,1.1752949530000008
*ses,1.1967624189999997
tree*,1.2379681499999995
sp*h,1.1679571160000002
m*g,0.8480683379999991
v*n,1.178537891000003
rein*,1.2371455969999996
lan*ge,1.2074488720000005
auto*,1.1889376649999974
on*y,1.223211365000001
senti*,1.2193836050000009
s*p,1.2315271049999978
l*m,1.1891055290000025
nat*l,1.1999632619999971
we*,1.2234883320000023
mo*c,1.1998640029999983
com*er,1.2854299160000018
cl*g,1.2202460510000002
s*ic,1.1902418809999986
re*s,1.2333790700000016
*ata,1.2467086310000006
f*sion,1.190463132999998
o*ject,1.1891722010000016
g*dm,1.167899964
n*ural,1.1857436020000023
e*treme,1.2383188439999984
